date_local,wx_record_id,zone,recomputed_kwh,airtable_kwh_auto,delta_kwh,delta_pct,status
2025-12-31,recdLwZVKkZlbQJli,Stairs,3.941,3.941,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,LR,35.416,35.416,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Kitchen,17.625,17.625,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Up Bath,3.586,3.586,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,MANC,16.969,16.969,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Master,26.929,26.929,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Den,0.281,0.281,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Guest Hall,0.000,0.000,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Laundry,0.000,0.000,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Guest Bath,0.294,0.294,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Entryway,0.000,0.000,0.000,0.00,OK
2025-12-31,recdLwZVKkZlbQJli,Guest Room,0.000,0.000,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Stairs,0.186,0.186,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,LR,43.300,43.300,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Kitchen,16.321,16.321,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Up Bath,3.136,3.136,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,MANC,18.223,18.223,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Master,24.345,24.345,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Den,0.527,0.527,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Guest Hall,0.000,0.000,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Guest Bath,0.076,0.076,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Entryway,0.000,0.000,0.000,0.00,OK
2026-01-01,recuirgiFyaJqg1Tz,Guest Room,0.000,0.000,0.000,0.00,OK
2026-01-02,recHlh1Ex4Go5HLl8,Stairs,5.665,5.665,0.000,0.00,OK
2026-01-02,recHlh1Ex4Go5HLl8,LR,60.947,60.947,0.000,0.00,OK
2026-01-02,recHlh1Ex4Go5HLl8,Kitchen,14.351,14.351,0.000,0.00,OK
2026-01-02,recHlh1Ex4Go5HLl8,Up Bath,4.277,4.277,0.000,0.00,OK
